gama_x,gama_y
29414.23237875267,16122.648472748697
29498.31544879242,16047.802143013105
29683.60608901037,16113.711913082749
29434.64725708426,16081.546640838496
29498.31544879242,16047.802143013105
29412.364535846747,16066.47867602203
29515.11739816959,16076.936057878658
29336.124047385994,16086.265167515725
29701.49717775744,14460.69220401626
29510.100661571138,14604.560483709909
29510.100661571138,14604.560483709909
29510.100661571138,14604.560483709909
29510.100661571138,14604.560483709909
29510.100661571138,14604.560483709909
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29391.459191718488,15527.513163224794
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29391.459191718488,15527.513163224794
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
29498.31544879242,16047.802143013105
30137.88726677897,15018.238168501295
30137.88726677897,15018.238168501295
30137.88726677897,15018.238168501295
29522.965434480342,15084.281110055745
29522.965434480342,15084.281110055745
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38623.05641534063,30054.209707523696
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
38021.906191526796,29990.049601233564
42492.86670990079,29084.779059438966
42492.86670990079,29084.779059438966
42642.6708682297,29027.552383095957
42723.29561017058,29046.988198520616
